epoch,DFA SGD,Alignment,Alignment_w1
49,0.7464,0.5288236737251282,0.2668115496635437
50,0.7554,0.5298311114311218,0.5534833073616028
1,0.4991,0.06503091007471085,0.05667116865515709
2,0.526,0.10684112459421158,0.09065859764814377
3,0.5879,0.18591143190860748,0.09517174959182739
4,0.6424,0.25728553533554077,0.1625795066356659
5,0.6457,0.3043968975543976,0.3175637423992157
6,0.6566,0.34390661120414734,0.3326232135295868
7,0.6824,0.3705654740333557,0.36576730012893677
8,0.6876,0.39199012517929077,0.34926584362983704
9,0.6982,0.41062095761299133,0.42481696605682373
10,0.6967,0.42648956179618835,0.3872777223587036
11,0.699,0.43903177976608276,0.27494701743125916
12,0.7195,0.45357227325439453,0.366363525390625
13,0.7152,0.46553850173950195,0.5162784457206726
14,0.7257,0.4776745140552521,0.4206281006336212
15,0.7204,0.48951366543769836,0.34573450684547424
16,0.7273,0.49690526723861694,0.4904935657978058
17,0.7261,0.5071169137954712,0.5318609476089478
18,0.7241,0.5181564688682556,0.5698397755622864
19,0.7249,0.529692530632019,0.4015495777130127
20,0.733,0.5395362973213196,0.505798876285553
21,0.7347,0.548654317855835,0.5333481431007385
22,0.7274,0.557608962059021,0.5033637881278992
23,0.7293,0.5657259821891785,0.42016729712486267
24,0.7434,0.5734039545059204,0.4481682777404785
25,0.7445,0.5808465480804443,0.6047965288162231
26,0.7527,0.5876705646514893,0.48764753341674805
27,0.7481,0.594286322593689,0.5711775422096252
28,0.7411,0.6002498865127563,0.41277626156806946
29,0.7442,0.6058997511863708,0.598682701587677
30,0.731,0.6115807294845581,0.4545276463031769
31,0.7385,0.6164408922195435,0.6068045496940613
32,0.7467,0.6207189559936523,0.5294447541236877
33,0.7548,0.6257642507553101,0.5020729899406433
34,0.7684,0.6298925876617432,0.47887122631073
35,0.7546,0.6336341500282288,0.5674268007278442
36,0.7281,0.6368496417999268,0.5784721970558167
37,0.7567,0.6402590274810791,0.5058912038803101
38,0.76,0.6434035897254944,0.5802702903747559
39,0.7555,0.6465715765953064,0.48587626218795776
40,0.756,0.6494592428207397,0.6001701951026917
41,0.7529,0.6519078612327576,0.554372251033783
42,0.7478,0.6545684337615967,0.4944576323032379
43,0.7552,0.6569622755050659,0.5049245357513428
44,0.7475,0.6593138575553894,0.6023304462432861
45,0.7655,0.6617826223373413,0.4512827396392822
46,0.7494,0.6639307141304016,0.5710060596466064
47,0.7694,0.6660025715827942,0.5683885216712952
48,0.7671,0.6677508354187012,0.5727193355560303
49,0.7621,0.6694686412811279,0.6595860719680786
50,0.7678,0.6709012985229492,0.5658835768699646
