epoch,DFA SGD,Alignment,Alignment_w1
15,0.6547,0.41538378596305847,0.42300641536712646
16,0.6678,0.4200803339481354,0.38507208228111267
17,0.667,0.4296090304851532,0.4548341929912567
18,0.6667,0.4371836185455322,0.42964449524879456
19,0.6772,0.44499149918556213,0.4360404908657074
20,0.6791,0.44631528854370117,0.43100419640541077
21,0.689,0.4500148296356201,0.45905745029449463
22,0.6814,0.45414167642593384,0.4462992250919342
23,0.6875,0.45739224553108215,0.4407421350479126
24,0.6883,0.46178895235061646,0.45905831456184387
25,0.69,0.46447253227233887,0.46529433131217957
26,0.6919,0.4691692590713501,0.4427928328514099
27,0.6922,0.4723665416240692,0.4926052987575531
28,0.6987,0.4739598035812378,0.47001901268959045
29,0.6977,0.4795888364315033,0.47126924991607666
30,0.7109,0.48115962743759155,0.5340093374252319
31,0.7035,0.48768237233161926,0.4998745918273926
32,0.7023,0.4861442744731903,0.4506947994232178
33,0.7114,0.49239063262939453,0.5288910269737244
34,0.7119,0.4982144236564636,0.5177492499351501
35,0.7143,0.5015305876731873,0.48923954367637634
36,0.7167,0.5054616928100586,0.46812698245048523
37,0.7143,0.5091942548751831,0.5610204339027405
38,0.6829,0.5132438540458679,0.5006446838378906
39,0.6917,0.5164951682090759,0.5312106013298035
40,0.7189,0.5194470882415771,0.5262075662612915
41,0.7092,0.5246990323066711,0.5597309470176697
42,0.7301,0.528191864490509,0.5724278092384338
43,0.7268,0.5316570401191711,0.5929465293884277
44,0.7296,0.5349040031433105,0.6198806166648865
45,0.7253,0.5375406742095947,0.5433366298675537
46,0.7069,0.5401508212089539,0.5573438405990601
47,0.7331,0.5378540754318237,0.6041054129600525
48,0.7111,0.5378109812736511,0.5558848977088928
49,0.7368,0.5401819348335266,0.5433377623558044
50,0.7199,0.5388530492782593,0.5349972248077393
