epoch,BP SGD,DFA SGD
1,0.5393,0.499
2,0.6509,0.5006
3,0.6777,0.5071
4,0.7007,0.5045
5,0.686,0.5254
6,0.6995,0.5425
7,0.7198,0.5673
8,0.7186,0.5933
9,0.7375,0.6093
10,0.7274,0.6194
11,0.7313,0.6337
12,0.7344,0.6374
13,0.7316,0.6544
14,0.7542,0.6594
15,0.7448,0.6636
16,0.7569,0.6743
17,0.7573,0.6696
18,0.757,0.6658
19,0.7669,0.6767
20,0.7647,0.6805
1,0.5393,0.4958
2,0.6361,0.5076
3,0.6583,0.517
4,0.6963,0.5365
5,0.7065,0.5217
6,0.7018,0.5687
7,0.7183,0.577
8,0.7248,0.5957
9,0.7273,0.6197
10,0.7377,0.6359
11,0.7353,0.641
12,0.7384,0.6472
13,0.75,0.6621
14,0.7504,0.6701
15,0.7595,0.6693
16,0.755,0.6751
17,0.7505,0.6798
18,0.7557,0.6856
19,0.7572,0.687
20,0.7548,0.6892
1,0.5322,0.5001
2,0.6191,0.5002
3,0.6616,0.5063
4,0.6879,0.512
5,0.7002,0.5257
6,0.7044,0.5395
7,0.6909,0.5657
8,0.7205,0.5842
9,0.7232,0.5942
10,0.7336,0.6136
11,0.7356,0.628
12,0.7383,0.6466
13,0.7395,0.6531
14,0.7486,0.6595
15,0.7484,0.66
16,0.762,0.6705
17,0.7548,0.6686
18,0.7654,0.6803
19,0.7526,0.6767
20,0.7715,0.6829
